Interest Group,Year,Amount Contributed
COALITION FOR ADOPTION RIGHTS EQUALITY,2004,3000.00
EQUALITY NORTH CAROLINA,2005,3000.00
PFLAG TREASURE VALLEY,2006,3000.00
GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE,2014,3000.00
EQUALITY SOUTH DAKOTA,2014,3000.00
EQUALITY NC ACTION FUND,2014,2995.00
STONEWALL DEMOCRATS OF DALLAS,2012,2905.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2014,2900.00
UTAH STONEWALL DEMOCRATS,2016,2850.00
TEXAS EQUITY PAC,2010,2795.00
STONEWALL DEMOCRATS OF ARKANSAS,2006,2785.00
RAINBOW EQUALITY,2008,2775.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2004,2750.00
DESERT STONEWALL DEMOCRATS,2012,2750.00
STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY,2012,2750.00
INDIANA STONEWALL DEMOCRATS,2018,2750.00
ATLANTA STONEWALL DEMOCRATS,2006,2725.00
MICH PRIDE PAC,1996,2700.00
VIRGINIA LOG CABIN REPUBLICANS OF NOVA,2003,2700.00
TEXAS EQUITY PAC,2005,2700.00
VERMONT FUND FOR FAMILIES,2006,2700.00
GAYPASG PAC,2003,2676.04
BOULDER PRIDE,2006,2655.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2008,2650.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2000,2648.09
LOG CABIN REPUBLICANS OF NW OHIO,2006,2600.00
UTAH STONEWALL DEMOCRATS,2018,2600.00
BASIC RIGHTS OF OR ELECT PAC 3087,2000,2564.00
DELAWARE LIBERTY FUND,2008,2550.00
STONEWALL DEMOCRATS OF SAN ANTONIO,2012,2546.05
ILLINOIS FAIRNESS FUND,2014,2540.88
DESERT STONEWALL DEMOCRATS,2014,2531.31
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2010,2525.00
BASIC RIGHTS OF OREGON ELECT PAC 3087,2000,2503.00
BASIC RIGHTS OF OREGON PAC,2002,2500.00
NATIONAL STONEWALL DEMOCRATS,2006,2500.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2006,2500.00
VERMONT FUND FOR FAMILIES,2008,2500.00
GARDEN STATE EQUALITY,2011,2500.00
EQUALITY ILLINOIS,2015,2500.00
EQUALITY NEW MEXICO,2016,2500.00
GAY & LESBIAN VICTORY FUND,2019,2500.00
EQUALITY CALIFORNIA,2019,2500.00
LOG CABIN REPUBLICANS OF CALIFORNIA,2008,2450.00
EQUALITY UTAH,2015,2450.00
MASSEQUALITY,2004,2412.97
EMPIRE STATE PRIDE AGENDA,1997,2350.00
MICHIGAN PRIDE,2004,2350.00
EQUALITY MICHIGAN,2006,2350.00
STONEWALL DEMOCRATS OF CENTRAL OHIO,2016,2300.00
GLID,2002,2250.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2005,2250.00
EQUAL RIGHTS ACTION,2008,2250.00
INDIANA STONEWALL DEMOCRATS,2012,2250.00
STONEWALL DEMOCRATIC CAUCUS,2012,2250.00
STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS,2008,2220.00
STONEWALL DEMOCRATS,2010,2200.00
ONE COLORADO,2019,2200.00
LESBIAN COMMUNITY PROJECT OF MID-MISSOURI,2004,2187.00
GAYPASG PAC,2005,2150.00
CLEVELAND STONEWALL DEMOCRATS,2008,2150.00
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2016,2150.00
STONEWALL YOUNG DEMOCRATS,2014,2125.00
DELAWARE LIBERTY FUND,2010,2100.00
GAY & LESBIAN VICTORY FUND,1996,2089.84
GATEWAY STONEWALL DEMOCRATS,2008,2080.00
MICH PRIDE PAC,2004,2075.00
LOG CABIN REPUBLICANS,2006,2050.00
NATIONAL RAINBOW COALITION,2000,2000.00
GEORGIA STONEWALL DEMOCRATS,2000,2000.00
LANSING ASSOCIATION FOR HUMAN RIGHTS,2004,2000.00
STONEWALL DEMOCRATS OF CENTRAL OHIO,2004,2000.00
EQUALITY MICHIGAN,2005,2000.00
GARDEN STATE EQUALITY,2006,2000.00
CENTER ADVOCATES,2007,2000.00
ATLANTA STONEWALL DEMOCRATS,2007,2000.00
LOG CABIN REPUBLICANS,2008,2000.00
