"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"1786","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2008,17800,17800,"Candidate"
"1787","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2006,11750,0,"Party Committee"
"1788","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2006,11750,11750,"Candidate"
"1789","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2004,1250,0,"Party Committee"
"1790","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2004,1250,1250,"Candidate"
"1791","STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY",2016,500,0,"Party Committee"
"1792","STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY",2016,500,500,"Candidate"
"1793","STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY",2010,1000,0,"Party Committee"
"1794","STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY",2010,1000,1000,"Candidate"
"1795","STONEWALL DEMOCRATIC CMTE",2006,250,0,"Party Committee"
"1796","STONEWALL DEMOCRATIC CMTE",2006,250,250,"Candidate"
"1797","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2017,3547.25,3547.25,"Party Committee"
"1798","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2017,3547.25,0,"Candidate"
"1799","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2016,1250,0,"Party Committee"
"1800","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2016,1250,1250,"Candidate"
"1801","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2015,250,250,"Party Committee"
"1802","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2015,250,0,"Candidate"
"1803","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2012,500,0,"Party Committee"
"1804","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2012,500,500,"Candidate"
"1805","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2010,2525,2225,"Party Committee"
"1806","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2010,2525,300,"Candidate"
"1807","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2009,1250,1250,"Party Committee"
"1808","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2009,1250,0,"Candidate"
"1809","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2008,2650,2650,"Party Committee"
"1810","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2008,2650,0,"Candidate"
"1811","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2006,2500,2500,"Party Committee"
"1812","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2006,2500,0,"Candidate"
"1813","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2005,2250,2250,"Party Committee"
"1814","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2005,2250,0,"Candidate"
"1815","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2004,1550,1250,"Party Committee"
"1816","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2004,1550,300,"Candidate"
"1817","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2003,1000,1000,"Party Committee"
"1818","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2003,1000,0,"Candidate"
"1819","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2002,1000,1000,"Party Committee"
"1820","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2002,1000,0,"Candidate"
"1821","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2000,2648.09,2648.09,"Party Committee"
"1822","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2000,2648.09,0,"Candidate"
"1823","STONEWALL DEMOCRATICS OF WNY",2008,250,0,"Party Committee"
"1824","STONEWALL DEMOCRATICS OF WNY",2008,250,250,"Candidate"
"1825","STONEWALL DEMOCRATS",2018,1000,0,"Party Committee"
"1826","STONEWALL DEMOCRATS",2018,1000,1000,"Candidate"
"1827","STONEWALL DEMOCRATS",2017,100,0,"Party Committee"
"1828","STONEWALL DEMOCRATS",2017,100,100,"Candidate"
"1829","STONEWALL DEMOCRATS",2016,250,0,"Party Committee"
"1830","STONEWALL DEMOCRATS",2016,250,250,"Candidate"
"1831","STONEWALL DEMOCRATS",2014,607,0,"Party Committee"
"1832","STONEWALL DEMOCRATS",2014,607,607,"Candidate"
"1833","STONEWALL DEMOCRATS",2012,1950,0,"Party Committee"
"1834","STONEWALL DEMOCRATS",2012,1950,1950,"Candidate"
"1835","STONEWALL DEMOCRATS",2010,2200,0,"Party Committee"
"1836","STONEWALL DEMOCRATS",2010,2200,2200,"Candidate"
"1837","STONEWALL DEMOCRATS",2009,500,500,"Party Committee"
"1838","STONEWALL DEMOCRATS",2009,500,0,"Candidate"
"1839","STONEWALL DEMOCRATS",2006,1601,750,"Party Committee"
"1840","STONEWALL DEMOCRATS",2006,1601,851,"Candidate"
"1841","STONEWALL DEMOCRATS",2004,408,0,"Party Committee"
"1842","STONEWALL DEMOCRATS",2004,408,408,"Candidate"
"1843","STONEWALL DEMOCRATS",2003,105,105,"Party Committee"
"1844","STONEWALL DEMOCRATS",2003,105,0,"Candidate"
"1845","STONEWALL DEMOCRATS",2002,100,0,"Party Committee"
"1846","STONEWALL DEMOCRATS",2002,100,100,"Candidate"
"1847","STONEWALL DEMOCRATS",2000,204,0,"Party Committee"
"1848","STONEWALL DEMOCRATS",2000,204,204,"Candidate"
"1849","STONEWALL DEMOCRATS OF ARIZONA",2014,40,0,"Party Committee"
"1850","STONEWALL DEMOCRATS OF ARIZONA",2014,40,40,"Candidate"
"1851","STONEWALL DEMOCRATS OF ARIZONA",2004,500,500,"Party Committee"
"1852","STONEWALL DEMOCRATS OF ARIZONA",2004,500,0,"Candidate"
"1853","STONEWALL DEMOCRATS OF ARKANSAS",2014,450,0,"Party Committee"
"1854","STONEWALL DEMOCRATS OF ARKANSAS",2014,450,450,"Candidate"
"1855","STONEWALL DEMOCRATS OF ARKANSAS",2006,2785,0,"Party Committee"
"1856","STONEWALL DEMOCRATS OF ARKANSAS",2006,2785,2785,"Candidate"
"1857","STONEWALL DEMOCRATS OF AUSTIN",2005,500,0,"Party Committee"
"1858","STONEWALL DEMOCRATS OF AUSTIN",2005,500,500,"Candidate"
"1859","STONEWALL DEMOCRATS OF BEXAR COUNTY",2010,1000,0,"Party Committee"
"1860","STONEWALL DEMOCRATS OF BEXAR COUNTY",2010,1000,1000,"Candidate"
"1861","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2014,642.27,0,"Party Committee"
"1862","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2014,642.27,642.27,"Candidate"
"1863","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2010,3425,0,"Party Committee"
"1864","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2010,3425,3425,"Candidate"
"1865","STONEWALL DEMOCRATS OF CENTRAL OHIO",2018,450,0,"Party Committee"
"1866","STONEWALL DEMOCRATS OF CENTRAL OHIO",2018,450,450,"Candidate"
"1867","STONEWALL DEMOCRATS OF CENTRAL OHIO",2016,2300,0,"Party Committee"
"1868","STONEWALL DEMOCRATS OF CENTRAL OHIO",2016,2300,2300,"Candidate"
"1869","STONEWALL DEMOCRATS OF CENTRAL OHIO",2014,4500,0,"Party Committee"
"1870","STONEWALL DEMOCRATS OF CENTRAL OHIO",2014,4500,4500,"Candidate"
"1871","STONEWALL DEMOCRATS OF CENTRAL OHIO",2012,100,0,"Party Committee"
"1872","STONEWALL DEMOCRATS OF CENTRAL OHIO",2012,100,100,"Candidate"
"1873","STONEWALL DEMOCRATS OF CENTRAL OHIO",2010,1035,1000,"Party Committee"
"1874","STONEWALL DEMOCRATS OF CENTRAL OHIO",2010,1035,35,"Candidate"
"1875","STONEWALL DEMOCRATS OF CENTRAL OHIO",2009,250,250,"Party Committee"
"1876","STONEWALL DEMOCRATS OF CENTRAL OHIO",2009,250,0,"Candidate"
"1877","STONEWALL DEMOCRATS OF CENTRAL OHIO",2004,2000,0,"Party Committee"
"1878","STONEWALL DEMOCRATS OF CENTRAL OHIO",2004,2000,2000,"Candidate"
"1879","STONEWALL DEMOCRATS OF DALLAS",2018,3500,0,"Party Committee"
"1880","STONEWALL DEMOCRATS OF DALLAS",2018,3500,3500,"Candidate"
"1881","STONEWALL DEMOCRATS OF DALLAS",2016,4600,900,"Party Committee"
"1882","STONEWALL DEMOCRATS OF DALLAS",2016,4600,3700,"Candidate"
"1883","STONEWALL DEMOCRATS OF DALLAS",2014,6530,100,"Party Committee"
"1884","STONEWALL DEMOCRATS OF DALLAS",2014,6530,6430,"Candidate"
"1885","STONEWALL DEMOCRATS OF DALLAS",2013,700,200,"Party Committee"
"1886","STONEWALL DEMOCRATS OF DALLAS",2013,700,500,"Candidate"
"1887","STONEWALL DEMOCRATS OF DALLAS",2012,2905,0,"Party Committee"
"1888","STONEWALL DEMOCRATS OF DALLAS",2012,2905,2905,"Candidate"
"1889","STONEWALL DEMOCRATS OF DALLAS",2010,1260,0,"Party Committee"
"1890","STONEWALL DEMOCRATS OF DALLAS",2010,1260,1260,"Candidate"
"1891","STONEWALL DEMOCRATS OF DALLAS",2008,3159.9,0,"Party Committee"
"1892","STONEWALL DEMOCRATS OF DALLAS",2008,3159.9,3159.9,"Candidate"
"1893","STONEWALL DEMOCRATS OF DALLAS",2004,450,250,"Party Committee"
"1894","STONEWALL DEMOCRATS OF DALLAS",2004,450,200,"Candidate"
"1895","STONEWALL DEMOCRATS OF DENTON COUNTY",2018,300,0,"Party Committee"
"1896","STONEWALL DEMOCRATS OF DENTON COUNTY",2018,300,300,"Candidate"
"1897","STONEWALL DEMOCRATS OF DENTON COUNTY",2014,1714,0,"Party Committee"
"1898","STONEWALL DEMOCRATS OF DENTON COUNTY",2014,1714,1714,"Candidate"
"1899","STONEWALL DEMOCRATS OF DENTON COUNTY",2012,160,0,"Party Committee"
"1900","STONEWALL DEMOCRATS OF DENTON COUNTY",2012,160,160,"Candidate"
"1901","STONEWALL DEMOCRATS OF DENTON COUNTY",2008,13021.6,110,"Party Committee"
"1902","STONEWALL DEMOCRATS OF DENTON COUNTY",2008,13021.6,12911.6,"Candidate"
"1903","STONEWALL DEMOCRATS OF EASTERN MISSOURI",2010,200,0,"Party Committee"
"1904","STONEWALL DEMOCRATS OF EASTERN MISSOURI",2010,200,200,"Candidate"
"1905","STONEWALL DEMOCRATS OF MASSACHUSETTS",2016,1350,0,"Party Committee"
"1906","STONEWALL DEMOCRATS OF MASSACHUSETTS",2016,1350,1350,"Candidate"
"1907","STONEWALL DEMOCRATS OF MASSACHUSETTS",2014,400,0,"Party Committee"
"1908","STONEWALL DEMOCRATS OF MASSACHUSETTS",2014,400,400,"Candidate"
"1909","STONEWALL DEMOCRATS OF MASSACHUSETTS",2012,400,0,"Party Committee"
"1910","STONEWALL DEMOCRATS OF MASSACHUSETTS",2012,400,400,"Candidate"
"1911","STONEWALL DEMOCRATS OF MASSACHUSETTS",2011,200,0,"Party Committee"
"1912","STONEWALL DEMOCRATS OF MASSACHUSETTS",2011,200,200,"Candidate"
"1913","STONEWALL DEMOCRATS OF MASSACHUSETTS",2010,400,0,"Party Committee"
"1914","STONEWALL DEMOCRATS OF MASSACHUSETTS",2010,400,400,"Candidate"
"1915","STONEWALL DEMOCRATS OF MASSACHUSETTS",2008,650,0,"Party Committee"
"1916","STONEWALL DEMOCRATS OF MASSACHUSETTS",2008,650,650,"Candidate"
"1917","STONEWALL DEMOCRATS OF MASSACHUSETTS",2006,1000,0,"Party Committee"
"1918","STONEWALL DEMOCRATS OF MASSACHUSETTS",2006,1000,1000,"Candidate"
"1919","STONEWALL DEMOCRATS OF MASSACHUSETTS",2004,650,0,"Party Committee"
"1920","STONEWALL DEMOCRATS OF MASSACHUSETTS",2004,650,650,"Candidate"
"1921","STONEWALL DEMOCRATS OF NORTHERN NEVADA",2004,100,0,"Party Committee"
"1922","STONEWALL DEMOCRATS OF NORTHERN NEVADA",2004,100,100,"Candidate"
"1923","STONEWALL DEMOCRATS OF PINELLAS",2016,250,0,"Party Committee"
"1924","STONEWALL DEMOCRATS OF PINELLAS",2016,250,250,"Candidate"
"1925","STONEWALL DEMOCRATS OF PINELLAS",2014,350,0,"Party Committee"
"1926","STONEWALL DEMOCRATS OF PINELLAS",2014,350,350,"Candidate"
"1927","STONEWALL DEMOCRATS OF PINELLAS",2006,17,0,"Party Committee"
"1928","STONEWALL DEMOCRATS OF PINELLAS",2006,17,17,"Candidate"
"1929","STONEWALL DEMOCRATS OF SAN ANTONIO",2018,500,0,"Party Committee"
"1930","STONEWALL DEMOCRATS OF SAN ANTONIO",2018,500,500,"Candidate"
"1931","STONEWALL DEMOCRATS OF SAN ANTONIO",2016,2000,0,"Party Committee"
"1932","STONEWALL DEMOCRATS OF SAN ANTONIO",2016,2000,2000,"Candidate"
"1933","STONEWALL DEMOCRATS OF SAN ANTONIO",2015,500,0,"Party Committee"
"1934","STONEWALL DEMOCRATS OF SAN ANTONIO",2015,500,500,"Candidate"
"1935","STONEWALL DEMOCRATS OF SAN ANTONIO",2014,795,0,"Party Committee"
"1936","STONEWALL DEMOCRATS OF SAN ANTONIO",2014,795,795,"Candidate"
"1937","STONEWALL DEMOCRATS OF SAN ANTONIO",2012,2546.05,0,"Party Committee"
"1938","STONEWALL DEMOCRATS OF SAN ANTONIO",2012,2546.05,2546.05,"Candidate"
"1939","STONEWALL DEMOCRATS OF SAN ANTONIO",2010,3500,0,"Party Committee"
"1940","STONEWALL DEMOCRATS OF SAN ANTONIO",2010,3500,3500,"Candidate"
"1941","STONEWALL DEMOCRATS OF SAN ANTONIO",2008,7000,0,"Party Committee"
"1942","STONEWALL DEMOCRATS OF SAN ANTONIO",2008,7000,7000,"Candidate"
"1943","STONEWALL DEMOCRATS OF SAN ANTONIO",2006,100,0,"Party Committee"
"1944","STONEWALL DEMOCRATS OF SAN ANTONIO",2006,100,100,"Candidate"
"1945","STONEWALL DEMOCRATS OF SAN ANTONIO",2005,1500,0,"Party Committee"
"1946","STONEWALL DEMOCRATS OF SAN ANTONIO",2005,1500,1500,"Candidate"
"1947","STONEWALL DEMOCRATS OF SAN ANTONIO",2004,1300,0,"Party Committee"
"1948","STONEWALL DEMOCRATS OF SAN ANTONIO",2004,1300,1300,"Candidate"
"1949","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2012,200,0,"Party Committee"
"1950","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2012,200,200,"Candidate"
"1951","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2010,350,0,"Party Committee"
"1952","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2010,350,350,"Candidate"
"1953","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2006,400,0,"Party Committee"
"1954","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2006,400,400,"Candidate"
"1955","STONEWALL DEMOCRATS OF TARRANT COUNTY",2010,12500,0,"Party Committee"
"1956","STONEWALL DEMOCRATS OF TARRANT COUNTY",2010,12500,12500,"Candidate"
"1957","STONEWALL DEMOCRATS OF TARRANT COUNTY",2008,4250,0,"Party Committee"
"1958","STONEWALL DEMOCRATS OF TARRANT COUNTY",2008,4250,4250,"Candidate"
"1959","STONEWALL DEMOCRATS OF TARRANT COUNTY",2006,370,0,"Party Committee"
"1960","STONEWALL DEMOCRATS OF TARRANT COUNTY",2006,370,370,"Candidate"
"1961","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2015,50.4,50.4,"Party Committee"
"1962","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2015,50.4,0,"Candidate"
"1963","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2014,6000,0,"Party Committee"
"1964","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2014,6000,6000,"Candidate"
"1965","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2013,200,0,"Party Committee"
"1966","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2013,200,200,"Candidate"
"1967","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2012,2750,0,"Party Committee"
"1968","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2012,2750,2750,"Candidate"
"1969","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2010,550,0,"Party Committee"
"1970","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2010,550,550,"Candidate"
"1971","STONEWALL DEMOCRATS OF WESTCHESTER",2010,1069.07,0,"Party Committee"
"1972","STONEWALL DEMOCRATS OF WESTCHESTER",2010,1069.07,1069.07,"Candidate"
"1973","STONEWALL DEMOCRATS OF WNY",2016,100,0,"Party Committee"
"1974","STONEWALL DEMOCRATS OF WNY",2016,100,100,"Candidate"
"1975","STONEWALL DEMOCRATS OF WNY",2012,400,0,"Party Committee"
"1976","STONEWALL DEMOCRATS OF WNY",2012,400,400,"Candidate"
"1977","STONEWALL DEMOCRATS OF WNY",2010,400,0,"Party Committee"
"1978","STONEWALL DEMOCRATS OF WNY",2010,400,400,"Candidate"
"1979","STONEWALL DEMOCRATS OFTHERIO GRANDE VALLEY",2012,250,0,"Party Committee"
"1980","STONEWALL DEMOCRATS OFTHERIO GRANDE VALLEY",2012,250,250,"Candidate"
"1981","STONEWALL DEMOCRATS SAUGATUCK",2008,250,0,"Party Committee"
"1982","STONEWALL DEMOCRATS SAUGATUCK",2008,250,250,"Candidate"
"1983","STONEWALL YOUNG DEMOCRATS",2018,3449,0,"Party Committee"
"1984","STONEWALL YOUNG DEMOCRATS",2018,3449,3449,"Candidate"
"1985","STONEWALL YOUNG DEMOCRATS",2017,250,0,"Party Committee"
"1986","STONEWALL YOUNG DEMOCRATS",2017,250,250,"Candidate"
"1987","STONEWALL YOUNG DEMOCRATS",2016,1100,0,"Party Committee"
"1988","STONEWALL YOUNG DEMOCRATS",2016,1100,1100,"Candidate"
"1989","STONEWALL YOUNG DEMOCRATS",2014,2125,0,"Party Committee"
"1990","STONEWALL YOUNG DEMOCRATS",2014,2125,2125,"Candidate"
"1991","STONEWALL YOUNG DEMOCRATS",2012,1199,0,"Party Committee"
"1992","STONEWALL YOUNG DEMOCRATS",2012,1199,1199,"Candidate"
"1993","STONEWALL YOUNG DEMOCRATS",2010,650,0,"Party Committee"
"1994","STONEWALL YOUNG DEMOCRATS",2010,650,650,"Candidate"
"1995","SUMMIT COUNTY PFLAG",2006,6204,0,"Party Committee"
"1996","SUMMIT COUNTY PFLAG",2006,6204,6204,"Candidate"
"1997","SUMMIT COUNTY STONEWALL DEMOCRATS",2008,100,100,"Party Committee"
"1998","SUMMIT COUNTY STONEWALL DEMOCRATS",2008,100,0,"Candidate"
"1999","SUNCOAST STONEWALL DEMOCRATS",2008,100,0,"Party Committee"
"2000","SUNCOAST STONEWALL DEMOCRATS",2008,100,100,"Candidate"
"2001","TARRANT COUNTY STONEWALL DEMOCRATS",2008,4250,0,"Party Committee"
"2002","TARRANT COUNTY STONEWALL DEMOCRATS",2008,4250,4250,"Candidate"
"2003","TASK FORCE CALIFORNIA CMTE - NO ON 8",2008,246678.7,0,"Party Committee"
"2004","TASK FORCE CALIFORNIA CMTE - NO ON 8",2008,246678.7,246678.7,"Candidate"
"2005","TECHNO DYKE",2004,600,0,"Party Committee"
"2006","TECHNO DYKE",2004,600,600,"Candidate"
"2007","TENNESSEE EQUALITY PROJECT",2015,200,0,"Party Committee"
"2008","TENNESSEE EQUALITY PROJECT",2015,200,200,"Candidate"
"2009","TENNESSEE EQUALITY PROJECT",2006,18000,0,"Party Committee"
"2010","TENNESSEE EQUALITY PROJECT",2006,18000,18000,"Candidate"
"2011","TEP-PAC",2018,1050,0,"Party Committee"
"2012","TEP-PAC",2018,1050,1050,"Candidate"
"2013","TEP-PAC",2016,1750,0,"Party Committee"
"2014","TEP-PAC",2016,1750,1750,"Candidate"
"2015","TEP-PAC",2015,200,0,"Party Committee"
"2016","TEP-PAC",2015,200,200,"Candidate"
"2017","TEP-PAC",2014,1000,0,"Party Committee"
"2018","TEP-PAC",2014,1000,1000,"Candidate"
"2019","TEP-PAC",2010,1100,0,"Party Committee"
"2020","TEP-PAC",2010,1100,1100,"Candidate"
"2021","TEP-PAC",2009,100,100,"Party Committee"
"2022","TEP-PAC",2009,100,0,"Candidate"
"2023","TEP-PAC",2008,1000,250,"Party Committee"
"2024","TEP-PAC",2008,1000,750,"Candidate"
"2025","TEXAS EQUITY PAC",2018,89800,0,"Party Committee"
"2026","TEXAS EQUITY PAC",2018,89800,89800,"Candidate"
"2027","TEXAS EQUITY PAC",2016,2000,0,"Party Committee"
"2028","TEXAS EQUITY PAC",2016,2000,2000,"Candidate"
"2029","TEXAS EQUITY PAC",2014,110245,0,"Party Committee"
"2030","TEXAS EQUITY PAC",2014,110245,110245,"Candidate"
"2031","TEXAS EQUITY PAC",2013,500,0,"Party Committee"
"2032","TEXAS EQUITY PAC",2013,500,500,"Candidate"
"2033","TEXAS EQUITY PAC",2012,8000,0,"Party Committee"
"2034","TEXAS EQUITY PAC",2012,8000,8000,"Candidate"
"2035","TEXAS EQUITY PAC",2010,2795,0,"Party Committee"
"2036","TEXAS EQUITY PAC",2010,2795,2795,"Candidate"
"2037","TEXAS EQUITY PAC",2008,19750,0,"Party Committee"
"2038","TEXAS EQUITY PAC",2008,19750,19750,"Candidate"
"2039","TEXAS EQUITY PAC",2006,13500,0,"Party Committee"
"2040","TEXAS EQUITY PAC",2006,13500,13500,"Candidate"
"2041","TEXAS EQUITY PAC",2005,2700,0,"Party Committee"
"2042","TEXAS EQUITY PAC",2005,2700,2700,"Candidate"
"2043","TEXAS STONEWALL DEMOCRATIC CAUCUS",2018,7950,1000,"Party Committee"
"2044","TEXAS STONEWALL DEMOCRATIC CAUCUS",2018,7950,6950,"Candidate"
"2045","TEXAS STONEWALL DEMOCRATIC CAUCUS",2016,500,500,"Party Committee"
"2046","TEXAS STONEWALL DEMOCRATIC CAUCUS",2016,500,0,"Candidate"
"2047","TEXAS STONEWALL DEMOCRATIC CAUCUS",2014,5400,1400,"Party Committee"
"2048","TEXAS STONEWALL DEMOCRATIC CAUCUS",2014,5400,4000,"Candidate"
"2049","TEXAS STONEWALL DEMOCRATIC CAUCUS",2012,4850,1600,"Party Committee"
"2050","TEXAS STONEWALL DEMOCRATIC CAUCUS",2012,4850,3250,"Candidate"
"2051","TEXAS STONEWALL DEMOCRATIC CAUCUS",2010,6000,0,"Party Committee"
"2052","TEXAS STONEWALL DEMOCRATIC CAUCUS",2010,6000,6000,"Candidate"
"2053","TEXAS STONEWALL DEMOCRATIC CAUCUS",2008,6900,1400,"Party Committee"
"2054","TEXAS STONEWALL DEMOCRATIC CAUCUS",2008,6900,5500,"Candidate"
"2055","TEXAS STONEWALL DEMOCRATIC CAUCUS",2006,400,400,"Party Committee"
"2056","TEXAS STONEWALL DEMOCRATIC CAUCUS",2006,400,0,"Candidate"
"2057","TEXAS STONEWALL DEMOCRATIC CAUCUS",2004,400,400,"Party Committee"
"2058","TEXAS STONEWALL DEMOCRATIC CAUCUS",2004,400,0,"Candidate"
"2059","TEXAS STONEWALL DEMOCRATIC CAUCUS",2002,400,400,"Party Committee"
"2060","TEXAS STONEWALL DEMOCRATIC CAUCUS",2002,400,0,"Candidate"
"2061","THE CENTER",2004,5000,0,"Party Committee"
"2062","THE CENTER",2004,5000,5000,"Candidate"
"2063","THE GAY & LESBIAN ACTIVIST",2006,250,0,"Party Committee"
"2064","THE GAY & LESBIAN ACTIVIST",2006,250,250,"Candidate"
"2065","THE GAY & LESBIAN COMMUNITY CENTER OF KEY WEST",2008,50,0,"Party Committee"
"2066","THE GAY & LESBIAN COMMUNITY CENTER OF KEY WEST",2008,50,50,"Candidate"
"2067","THOMAS JEFFERSON MEMORIAL UUC GAY/STRAIGHT ALLIANCE",2006,1332.5,0,"Party Committee"
"2068","THOMAS JEFFERSON MEMORIAL UUC GAY/STRAIGHT ALLIANCE",2006,1332.5,1332.5,"Candidate"
"2069","TRIANGLE FOUNDATION",2004,335,0,"Party Committee"
"2070","TRIANGLE FOUNDATION",2004,335,335,"Candidate"
"2071","TRIANGLE PRIDE OF MICHIGAN",2006,-500,0,"Party Committee"
"2072","TRIANGLE PRIDE OF MICHIGAN",2006,-500,-500,"Candidate"
"2073","TRIANGLE PRIDE PAC",2008,4300,0,"Party Committee"
"2074","TRIANGLE PRIDE PAC",2008,4300,4300,"Candidate"
"2075","TRIANGLE PRIDE PAC",2006,8905,75,"Party Committee"
"2076","TRIANGLE PRIDE PAC",2006,8905,8830,"Candidate"
"2077","TWO SISTERS & A WIFE FOUNDATION",2009,60000,0,"Party Committee"
"2078","TWO SISTERS & A WIFE FOUNDATION",2009,60000,60000,"Candidate"
"2079","UNITY UTAH",2004,1500,1500,"Party Committee"
"2080","UNITY UTAH",2004,1500,0,"Candidate"
"2081","UNITY UTAH",2002,14300,4000,"Party Committee"
"2082","UNITY UTAH",2002,14300,10300,"Candidate"
"2083","UTAH LOG CABIN REPUBLICANS",2011,500,0,"Party Committee"
"2084","UTAH LOG CABIN REPUBLICANS",2011,500,500,"Candidate"
"2085","UTAH LOG CABIN REPUBLICANS",2004,350,0,"Party Committee"
"2086","UTAH LOG CABIN REPUBLICANS",2004,350,350,"Candidate"
"2087","UTAH STONEWALL DEMOCRATS",2018,2600,0,"Party Committee"
"2088","UTAH STONEWALL DEMOCRATS",2018,2600,2600,"Candidate"
"2089","UTAH STONEWALL DEMOCRATS",2016,2850,0,"Party Committee"
"2090","UTAH STONEWALL DEMOCRATS",2016,2850,2850,"Candidate"
"2091","UTAH STONEWALL DEMOCRATS",2014,2000,0,"Party Committee"
"2092","UTAH STONEWALL DEMOCRATS",2014,2000,2000,"Candidate"
"2093","UTAH STONEWALL DEMOCRATS",2012,3925,0,"Party Committee"
"2094","UTAH STONEWALL DEMOCRATS",2012,3925,3925,"Candidate"
"2095","UTAH STONEWALL DEMOCRATS",2010,400,0,"Party Committee"
"2096","UTAH STONEWALL DEMOCRATS",2010,400,400,"Candidate"
"2097","VA PARTISANS",2011,1850,0,"Party Committee"
"2098","VA PARTISANS",2011,1850,1850,"Candidate"
"2099","VA PARTISANS",2007,250,0,"Party Committee"
"2100","VA PARTISANS",2007,250,250,"Candidate"
"2101","VA PARTISANS",2005,10529.05,529.05,"Party Committee"
"2102","VA PARTISANS",2005,10529.05,10000,"Candidate"
"2103","VA PARTISANS",2004,200,200,"Party Committee"
"2104","VA PARTISANS",2004,200,0,"Candidate"
"2105","VERMONT FUND FOR FAMILIES",2011,870,870,"Party Committee"
"2106","VERMONT FUND FOR FAMILIES",2011,870,0,"Candidate"
"2107","VERMONT FUND FOR FAMILIES",2010,9100,1500,"Party Committee"
"2108","VERMONT FUND FOR FAMILIES",2010,9100,7600,"Candidate"
"2109","VERMONT FUND FOR FAMILIES",2009,3500,3500,"Party Committee"
"2110","VERMONT FUND FOR FAMILIES",2009,3500,0,"Candidate"
"2111","VERMONT FUND FOR FAMILIES",2008,2500,1000,"Party Committee"
"2112","VERMONT FUND FOR FAMILIES",2008,2500,1500,"Candidate"
"2113","VERMONT FUND FOR FAMILIES",2007,1000,1000,"Party Committee"
"2114","VERMONT FUND FOR FAMILIES",2007,1000,0,"Candidate"
"2115","VERMONT FUND FOR FAMILIES",2006,2700,1650,"Party Committee"
"2116","VERMONT FUND FOR FAMILIES",2006,2700,1050,"Candidate"
"2117","VERMONT FUND FOR FAMILIES",2005,1500,1500,"Party Committee"
"2118","VERMONT FUND FOR FAMILIES",2005,1500,0,"Candidate"
